Time,wx,wy,wz,qx,qy,qz,q0,x,y,z,vx,vy,vz
0,1e-05,6.66667e-06,5e-06,0,0,0,1,6.871e+06,7.61518,0,-0.00861126,7615.18,0
0.001,2e-05,1.33333e-05,1.70155e-05,5e-09,3.33333e-09,2.5e-09,1,6.871e+06,15.2304,0,-0.0172225,7615.18,0
0.002,3e-05,2e-05,3.60466e-05,1.5e-08,1e-08,1.10078e-08,1,6.871e+06,22.8455,0,-0.0258338,7615.18,0
0.003,4e-05,2.66667e-05,6.20933e-05,3e-08,2e-08,2.90311e-08,1,6.871e+06,30.4607,0,-0.034445,7615.18,0
0.004,5e-05,3.33333e-05,9.51555e-05,5e-08,3.33333e-08,6.00777e-08,1,6.871e+06,38.0759,0,-0.0430563,7615.18,0
0.005,6e-05,4e-05,0.000135233,7.5e-08,5e-08,1.07655e-07,1,6.871e+06,45.6911,0,-0.0516676,7615.18,0
0.006,7e-05,4.66667e-05,0.000182326,1.05e-07,7e-08,1.75272e-07,1,6.871e+06,53.3062,0,-0.0602788,7615.18,0
0.007,8e-05,5.33334e-05,0.000236435,1.4e-07,9.33334e-08,2.66435e-07,1,6.871e+06,60.9214,0,-0.0688901,7615.18,0
0.008,9e-05,6.00001e-05,0.00029756,1.8e-07,1.2e-07,3.84653e-07,1,6.871e+06,68.5366,0,-0.0775013,7615.18,0
0.009,9.99999e-05,6.66668e-05,0.0003657,2.25e-07,1.5e-07,5.33433e-07,1,6.871e+06,76.1518,0,-0.0861126,7615.18,0
0.01,0.00011,7.33335e-05,0.000440855,2.75e-07,1.83333e-07,7.16283e-07,1,6.871e+06,83.767,0,-0.0947239,7615.18,0
0.011,0.00012,8.00003e-05,0.000523026,3.3e-07,2.2e-07,9.3671e-07,1,6.871e+06,91.3821,0,-0.103335,7615.18,0
0.012,0.00013,8.6667e-05,0.000612213,3.9e-07,2.6e-07,1.19822e-06,1,6.871e+06,98.9973,0,-0.111946,7615.18,0
0.013,0.00014,9.33338e-05,0.000708415,4.55e-07,3.03334e-07,1.50433e-06,1,6.871e+06,106.612,0,-0.120558,7615.18,0
0.014,0.00015,0.000100001,0.000811632,5.25e-07,3.50001e-07,1.85854e-06,1,6.871e+06,114.228,0,-0.129169,7615.18,0
0.015,0.00016,0.000106667,0.000921866,6e-07,4.00001e-07,2.26435e-06,1,6.871e+06,121.843,0,-0.13778,7615.18,0
0.016,0.000169999,0.000113334,0.00103911,6.79999e-07,4.53334e-07,2.72529e-06,1,6.871e+06,129.458,0,-0.146391,7615.18,0
0.017,0.000179999,0.000120001,0.00116338,7.64999e-07,5.10002e-07,3.24484e-06,1,6.871e+06,137.073,0,-0.155003,7615.18,0
0.018,0.000189999,0.000126668,0.00129466,8.54999e-07,5.70002e-07,3.82653e-06,1,6.871e+06,144.688,0,-0.163614,7615.18,0
